"utt_id";"utterance";"api_calls";"api_name";"api_method_name";"documentation";"llm_name"
"0";"Can you check how Apple is trading today and include the company details like market cap and sector?";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""AAPL"", ""period"": ""1d"", ""interval"": ""1d"", ""include_info"": true}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"1";"I want to review Tesla's performance over the last month with daily data points.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""TSLA"", ""period"": ""1mo"", ""interval"": ""1d""}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"2";"Pull Microsoft's year-to-date stock movement for me, and add valuation info such as the P/E ratio.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""MSFT"", ""period"": ""ytd"", ""interval"": ""1d"", ""include_info"": true}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"3";"Show me NVIDIA's five-day trend using 30-minute intervals.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""NVDA"", ""period"": ""5d"", ""interval"": ""30m""}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"4";"Please fetch Amazon's six-month stock history with weekly candles.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""AMZN"", ""period"": ""6mo"", ""interval"": ""1wk""}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"5";"Could you check how Apple is trading today and include the company details like market cap and sector?";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""AAPL"", ""period"": ""1d"", ""interval"": ""1d"", ""include_info"": true}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"6";"I want to review Tesla's performance over the last month with daily data.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""TSLA"", ""period"": ""1mo"", ""interval"": ""1d""}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"7";"Pull Microsoft's year-to-date stock movement for me using weekly intervals.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""MSFT"", ""period"": ""ytd"", ""interval"": ""1wk""}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"8";"How has NVIDIA been doing over the past six months? Show me the data month by month and add valuation info too.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""NVDA"", ""period"": ""6mo"", ""interval"": ""1mo"", ""include_info"": true}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
"9";"Give me Amazon's five-day stock view with 30-minute updates.";"[{""name"": ""get_stock_data"", ""arguments"": {""stock"": ""AMZN"", ""period"": ""5d"", ""interval"": ""30m""}}]";"Stock Market Data";"get_stock_data";"{""api_name"": ""Stock Market Data"", ""api_description"": ""Retrieve real-time and historical stock market performance using Yahoo Finance data."", ""api_method_name"": ""get_stock_data"", ""api_method_description"": ""Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information."", ""api_method_required_parameters"": [{""name"": ""stock"", ""type"": ""STRING"", ""description"": ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", ""required"": true}, {""name"": ""period"", ""type"": ""STRING"", ""description"": ""The time window for historical data."", ""values"": [""1d"", ""5d"", ""1mo"", ""3mo"", ""6mo"", ""1y"", ""2y"", ""5y"", ""10y"", ""ytd"", ""max""], ""default"": ""1d"", ""required"": false}, {""name"": ""interval"", ""type"": ""STRING"", ""description"": ""The data granularity/frequency."", ""values"": [""1m"", ""2m"", ""5m"", ""15m"", ""30m"", ""60m"", ""90m"", ""1h"", ""1d"", ""5d"", ""1wk"", ""1mo"", ""3mo""], ""default"": ""1d"", ""required"": false}, {""name"": ""include_info"", ""type"": ""BOOLEAN"", ""description"": ""If set to true, returns additional company metadata like market cap, P/E ratio, and sector."", ""default"": false, ""required"": false}]}";"gpt-5.4"
